well_node_id,gwis_site_id,gwis_well_tag,matched_pumping_group_id,mapping_status,mapping_confidence,identity_status,pumping_allocation_rule,defensible_pumping_mapping,datum,aquifer_geologic_unit,first_head_observation,last_head_observation,n_numeric_bls_observations,n_excluded_by_measurement_qc,n_unknown_ambiguous_eligible,n_numeric_head_observations,median_observation_interval_days,n_years_with_observations,n_months_with_observations,observation_span_months,first_pumping_month,last_pumping_month,n_pumping_months,n_head_observations_with_same_month_pumping,n_head_months_with_same_month_pumping,n_head_observations_with_lag1_pumping,n_head_observations_with_lag3_pumping,n_head_observations_with_lag6_pumping,head_anomaly_std_ft,bls_anomaly_std_ft,pumping_std_m3_overlap,pumping_cv_overlap,max_year_observation_share,max_month_of_year_share,peak_observation_month,longest_data_gap_days,corr_head_anomaly_pump_lag0,corr_head_anomaly_pump_lag1,corr_head_anomaly_pump_lag3,corr_head_anomaly_pump_lag6,corr_dhead_pump_lag0,corr_dhead_pump_lag1,corr_dhead_pump_lag3,corr_dhead_pump_lag6,lags_months_evaluated,lags_are_exploratory_diagnostics_not_model_specification,head_target_definition,head_interpolation,absolute_cross_well_gradient,diagnostics_are_identifiability_only,estimation_candidate_means,identifiability_class,classification_reason
GWIS:11935,11935,,nan,candidate_unresolved,,candidate_unresolved,no_accepted_pumping_series,False,NGVD1929,nan,1993-03-10,2025-09-01,143,2,81,143,7.0,11,62,390,,,0,0,0,0,0,0,13.838360550993437,13.838360550993437,,,0.35664335664335667,0.14685314685314685,9,4612.0,,,,,,,,,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,VALIDATION_ONLY,"measured heads exist, but pumping identity is missing, candidate, or not 1:1/accepted-group."
GWIS:15341,15341,84248,nan,candidate_unresolved,,candidate_unresolved,no_accepted_pumping_series,False,NGVD1929,Quaternary-Late Tertiary Vol & Volcaniclastic Aq,2007-02-06,2023-10-05,106,1,16,106,31.0,17,103,200,,,0,0,0,0,0,0,1.598446411345965,1.598446411345965,,,0.11320754716981132,0.11320754716981132,10,548.0,,,,,,,,,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,VALIDATION_ONLY,"measured heads exist, but pumping identity is missing, candidate, or not 1:1/accepted-group."
GWIS:16240,16240,109015,nan,candidate_unresolved,,candidate_unresolved,no_accepted_pumping_series,False,NGVD1929,Deschutes Formation,2012-06-06,2017-06-06,30,0,0,30,31.0,4,29,60,,,0,0,0,0,0,0,3.963377049369382,3.963377049369382,,,0.4,0.13333333333333333,6,928.0,,,,,,,,,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,VALIDATION_ONLY,"measured heads exist, but pumping identity is missing, candidate, or not 1:1/accepted-group."
SRC-GA,11933,105198,COMBINED_ACCEPTED:SRC-GA+SRC-GB,VERIFIED_COMBINED,1.0,confirmed_official_id,do_not_split_combined_pod,True,NAVD1988,nan,1980-12-11,2022-03-29,15,8,2,15,365.0,13,13,495,2009-10,2025-09,179,8,8,8,8,9,14.292874098654893,14.292874098654893,12277.530806323353,0.9427944756210431,0.2,0.9333333333333333,3,9588.0,-0.2625674491848482,-0.1978737424079253,0.6468953514125945,-0.08688506190180062,-0.7947274129570172,-0.6635951169979409,0.08681028995711795,-0.7012024684518486,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,VALIDATION_ONLY,"measured heads exist, but overlap, variation, or temporal distribution is insufficient for estimation."
SRC-GB,13222,89932,COMBINED_ACCEPTED:SRC-GA+SRC-GB,VERIFIED_COMBINED,1.0,confirmed_official_id,do_not_split_combined_pod,True,NGVD1929,Quaternary-Late Tertiary Vol & Volcaniclastic Aq,2007-07-11,2026-03-19,136,1,88,136,7.0,19,70,224,2009-10,2025-09,179,132,66,132,132,132,16.031139158025006,16.031139158025006,13373.100428559206,1.5858576465250909,0.3382352941176471,0.20588235294117646,3,732.0,-0.10206148174579821,-0.19970918321623196,-0.38939127534103196,-0.26523749060918017,-0.36346610876434854,-0.35516160181991757,-0.1621847658903662,0.05341988095071114,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,ESTIMATION_CANDIDATE,"sufficient data to attempt a validated empirical response model: confirmed mapping, ≥12 overlapping months, ≥3 years / ≥12 months of eligible heads, span ≥24 months, nontrivial head and pumping variation, and observations not concentrated in one campaign. This is not proof that a response is identified."
SRC-GC,20226,114180,SRC-GC,VERIFIED,1.0,confirmed_official_id,one_to_one_accepted_group,True,NGVD1929,nan,2014-11-28,2026-03-19,190,2,96,188,25.0,13,115,136,2012-10,2025-09,156,187,114,187,187,188,29.331786154467498,29.331786154467498,49334.672713723725,1.5948881380902415,0.26063829787234044,0.1595744680851064,9,198.0,-0.3933001450361396,-0.4570380731754549,-0.40367749461829194,0.06674520750412308,-0.22374284715863643,-0.0954036859254748,0.11456273869049236,0.19448541592561858,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,ESTIMATION_CANDIDATE,"sufficient data to attempt a validated empirical response model: confirmed mapping, ≥12 overlapping months, ≥3 years / ≥12 months of eligible heads, span ≥24 months, nontrivial head and pumping variation, and observations not concentrated in one campaign. This is not proof that a response is identified."
SRC-JA,16241,108444,SRC-JA,VERIFIED,1.0,confirmed_official_id,one_to_one_accepted_group,True,NGVD1929,Deschutes Formation,2012-01-27,2026-03-19,161,2,84,159,14.5,15,92,170,2012-10,2025-09,156,156,89,156,156,156,29.70943517148435,29.70943517148435,10704.846808664735,1.1477505710472813,0.3333333333333333,0.13836477987421383,3,521.0,-0.34966548413364174,-0.12122888436104098,0.03675806565049177,-0.07986006153712974,-0.1482959220345812,0.11459473497054613,-0.04153277831584259,-0.027266824288881785,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,ESTIMATION_CANDIDATE,"sufficient data to attempt a validated empirical response model: confirmed mapping, ≥12 overlapping months, ≥3 years / ≥12 months of eligible heads, span ≥24 months, nontrivial head and pumping variation, and observations not concentrated in one campaign. This is not proof that a response is identified."
VITESSE:64500,nan,,VITESSE:64500,VERIFIED_FROM_OWRD_ENTITY_EXPORT,1.0,unresolved,one_to_one_report_id,False,nan,nan,,,0,0,0,0,,0,0,0,2013-10,2024-09,128,0,0,0,0,0,,,,,,,,,,,,,,,,,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,INSUFFICIENT,no numeric GWIS heads at this node (pumping-only or unmatched).
VITESSE:64845,nan,,VITESSE:64845,VERIFIED_FROM_OWRD_ENTITY_EXPORT,1.0,unresolved,one_to_one_report_id,False,nan,nan,,,0,0,0,0,,0,0,0,2010-10,2024-09,164,0,0,0,0,0,,,,,,,,,,,,,,,,,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,INSUFFICIENT,no numeric GWIS heads at this node (pumping-only or unmatched).
VITESSE:64846,16891,105254,VITESSE:64846,VERIFIED_FROM_OWRD_ENTITY_EXPORT,1.0,confirmed_official_id,one_to_one_report_id,True,NGVD1929,Deschutes Formation,2010-10-29,2026-03-31,19,0,2,19,363.5,16,18,185,2010-10,2024-09,158,15,14,14,14,15,18.949255273284173,18.949255273284173,3156.9838934465033,1.5476473230825767,0.10526315789473684,0.7894736842105263,3,705.0,0.023757978684830462,0.12227623622212971,0.46356064000629843,0.7512072697774063,-0.18152826899194066,-0.34591676522474724,-0.11324139283285385,-0.3806642168910152,"0,1,3,6",True,head_anomaly_ft=-(BLS_ft-well_mean_BLS_ft); delta_head_ft=-delta_BLS_ft,none,not_computed,True,sufficient data to attempt a validated empirical response model,VALIDATION_ONLY,"measured heads exist, but overlap, variation, or temporal distribution is insufficient for estimation."
